TrialNumber,PayOffFunction,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter
120,Speed,120,5,0.393889211,38.55508876,106.19,4,6,1.9441,2.747,1.666625,1.9041,4
121,Speed,120,5,0.393889211,50.08991952,110.47,5,8,2.418275,3.508,2.004133333,2.491,3
122,Speed,120,5,0.393889211,50.13745201,149.24,3.333333333,6,1.817183333,2.5695,1.58338,2.1966,5
123,Speed,120,5,0.393889211,57.27469667,149.25,4,6,1.95486,2.7299,1.686075,2.635,4
124,Speed,120,5,0.393889211,37.30637744,79.82,5,9,2.3352,3.9101,1.515233333,1.5402,3
125,Speed,120,5,0.393889211,40.23251812,110.31,3.333333333,7,1.78385,3.2796,1.39518,1.7612,5
126,Speed,120,5,0.393889211,43.22300353,102.58,2.5,4,1.1613125,1.6946,1.686642857,2.4168,7
17,Speed,80,3,0.393889211,32.5349162,76.65,6.666666667,8,3.682866667,4.2063,2.6116,3.5012,2
18,Speed,80,3,0.393889211,38.93658055,105.57,3.333333333,8,2.133333333,3.6076,1.61194,2.9552,5
19,Speed,80,3,0.393889211,30.52123853,70.8,6.666666667,12,2.976933333,4.345,1.89055,2.1979,2
20,Speed,80,3,0.393889211,25.14484163,54.53,6.666666667,11,3.333366667,4.8291,0.93295,1.2411,2
21,Speed,80,3,0.393889211,32.46622807,64.1,5,13,2.284675,5.676,1.468833333,1.9936,3
22,Speed,80,3,0.393889211,32.44319688,68.89,5,7,2.7716,3.7281,1.011933333,1.788,3
23,Speed,80,3,0.393889211,28.68606987,63.08,5,12,2.3967,5.2209,1.125633333,1.6487,3
24,Speed,80,3,0.393889211,52.63250667,93.38,10,20,4.17515,7.715,1.3085,1.3085,1
25,Speed,80,3,0.393889211,42.00983019,103.61,6.666666667,11,3.702566667,5.7431,2.13185,2.5437,2
26,Speed,80,3,0.393889211,25.42654397,82.4,5,9,2.509275,4.2869,1.400466667,2.2005,3
27,Speed,80,3,0.393889211,54.46798942,131.28,10,18,4.1386,6.8853,1.7216,1.7216,1
28,Speed,80,3,0.393889211,31.69461274,74.08,4,8,2.22946,3.7087,1.840825,2.886,4
29,Speed,80,3,0.393889211,41.33866913,101.87,5,12,2.691575,5.8214,1.924833333,2.1973,3
30,Speed,80,3,0.393889211,32.14320313,103.46,5,8,2.616325,3.5337,1.583833333,2.3361,3
31,Speed,80,3,0.393889211,35.80375723,74.54,5,8,2.540425,3.475,1.971366667,2.3357,3
32,Speed,80,3,0.393889211,35.87219409,92.86,4,7,1.74934,2.3528,1.6689,1.9266,4
33,Speed,80,3,0.393889211,23.96691429,70.73,4,6,2.09328,2.7223,1.3603,3.0209,4
34,Speed,80,3,0.393889211,21.69015038,54.49,5,8,2.8488,3.7837,1.127433333,1.5166,3
35,Speed,80,3,0.393889211,35.6720071,93.89,3.333333333,6,1.84045,3.0688,1.5016,2.1319,5
36,Speed,80,3,0.393889211,33.7750655,95.66,4,8,1.8121,2.7757,1.3604,1.7203,4
47,Speed,120,3,0.393889211,38.34571705,70.61,5,8,2.7181,4.6158,1.320133333,1.6858,3
48,Speed,120,3,0.393889211,45.20171492,110.25,5,9,2.322325,3.8329,1.270933333,2.7053,3
49,Speed,120,3,0.393889211,33.99616162,62.88,6.666666667,12,2.862,4.9995,1.0658,1.6868,2
50,Speed,120,3,0.393889211,46.80740175,81.03,5,10,2.397825,4.615,1.1742,1.7578,3
51,Speed,120,3,0.393889211,39.44223118,98.3,10,20,4.04035,7.6698,1.8292,1.8292,1
52,Speed,120,3,0.393889211,46.93383292,99.03,6.666666667,13,2.819933333,4.8522,1.64885,1.9766,2
53,Speed,120,3,0.393889211,46.29338095,81.32,6.666666667,15,3.060966667,5.7079,1.0647,1.5382,2
54,Speed,120,3,0.393889211,33.67343964,62.67,6.666666667,13,3.2204,6.2022,1.0273,1.538,2
55,Speed,120,3,0.393889211,22.86740933,54.09,10,17,4.33935,6.382,1.2474,1.2474,1
56,Speed,120,3,0.393889211,26.33238443,58.65,6.666666667,14,3.036533333,6.5046,0.81025,0.8828,2
57,Speed,120,3,0.393889211,30.70189655,96.54,6.666666667,9,2.911666667,4.061,1.21085,1.9043,2
58,Speed,120,3,0.393889211,28.43687345,72.98,6.666666667,13,2.937233333,5.5029,0.95595,1.3946,2
59,Speed,120,3,0.393889211,19.312475,49.13,6.666666667,13,2.9693,5.2751,0.73745,0.9563,2
60,Speed,120,3,0.393889211,49.45571121,100.18,5,8,2.4787,4.1335,1.029333333,2.0535,3
61,Speed,120,3,0.393889211,42.83138095,104.52,6.666666667,14,3.0031,5.879,1.2829,1.6845,2
62,Speed,120,3,0.393889211,43.61935622,86.85,6.666666667,12,3.344,5.1944,1.50155,1.6842,2
63,Speed,120,3,0.393889211,39.04897778,84.29,5,10,2.49285,4.7375,0.858133333,1.2482,3
64,Speed,120,3,0.393889211,55.03938389,98.74,6.666666667,12,3.094366667,5.2213,0.99145,1.4648,2
65,Speed,120,3,0.393889211,37.61502947,75.21,6.666666667,11,3.637033333,4.9703,1.7572,1.9756,2
66,Speed,120,3,0.393889211,55.14620397,87.1,10,20,4.07195,7.6833,0.6632,0.6632,1
77,Speed,80,5,0.393889211,27.10877847,96.75,3.333333333,7,1.563483333,2.6801,1.07686,2.0618,5
78,Speed,80,5,0.393889211,31.87657407,90.46,2.857142857,5,1.442257143,2.4137,1.36615,2.1297,6
79,Speed,80,5,0.393889211,42.90728261,115.1,2,4,1.18007,1.8658,1.733311111,2.4525,9
80,Speed,80,5,0.393889211,29.06490842,92.53,2.5,6,1.10195,1.7933,1.583585714,2.1347,7
81,Speed,80,5,0.393889211,41.75094737,125.03,2.222222222,5,1.258844444,2.3482,1.61725,2.6779,8
82,Speed,80,5,0.393889211,34.15678161,107.32,2.222222222,4,1.204388889,1.9157,1.2495125,1.7197,8
83,Speed,80,5,0.393889211,29.25311958,101.73,3.333333333,5,1.650866667,2.3265,2.07604,3.3661,5
84,Speed,80,5,0.393889211,38.73892996,114.45,4,7,1.9,3.3082,1.80685,2.4773,4
85,Speed,80,5,0.393889211,44.98290133,156.5,2.857142857,6,1.633385714,2.7732,2.165016667,2.5448,6
86,Speed,80,5,0.393889211,44.6001072,121.87,3.333333333,5,1.608733333,2.4224,3.24208,3.979,5
87,Speed,80,5,0.393889211,38.2303481,94.54,2.857142857,5,1.340385714,2.2429,2.5766,4.186,6
