,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
1515,120,3,0.403017105,28.27455852,50.86,6.666666667,9,3.5858,4.0621,1.21125,1.6127,2,-1.1845052826879385,Accuracy,92,Accuracy,False
1280,120,3,0.40496973700000005,17.54241042,46.1,6.666666667,11,2.274533333,3.9497,0.7368,0.7371,2,-1.0550300485160466,Accuracy,107,Accuracy,False
1259,120,3,0.223630789,26.32199219,70.88,10.0,14,2.7785,4.1129,0.736,0.736,1,-0.13971256540854604,Accuracy,66,Accuracy,False
1286,120,3,0.40496973700000005,27.58804954,44.43,2.0,3,0.536,0.8917,0.5821666670000001,0.8091,9,-2.924987169288686,Accuracy,113,Accuracy,False
1893,120,3,0.28958236800000003,24.40961268,57.41,20.0,20,6.5539,6.5539,0.0,0.0,0,0.9728336213039608,Accuracy,60,Speed,False
1609,120,3,0.211221579,23.88923404,44.15,6.666666667,10,1.625666667,2.3776,0.77205,0.8809999999999999,2,-1.5304083915632578,Accuracy,116,Accuracy,False
1029,120,3,0.387901155,44.76376221,125.51,5.0,9,2.4033,3.861,4.941266667,5.7667,3,-2.744994226786971,Accuracy,86,Accuracy,False
1582,80,5,0.451450497,39.32953917,87.58,2.0,3,1.10765,1.8408,1.317,1.8575,9,-1.000044224444403,Accuracy,79,Accuracy,False
1062,80,5,0.254892354,35.03565934,76.49,2.857142857,4,0.8116714290000001,1.1441,1.217733333,2.4045,6,-1.0679730015067834,Accuracy,19,Accuracy,False
1497,80,5,0.403017105,53.25710294,103.67,2.857142857,3,1.757128571,2.296,1.927183333,2.7494,6,-1.0420276149819547,Accuracy,64,Accuracy,False
1729,80,5,0.258833158,43.88142857,87.98,4.0,7,1.2505600000000001,2.1303,1.327275,1.6547,4,-0.8503700299253361,Accuracy,56,Accuracy,False
1364,80,5,0.442727895,19.24154862,64.62,1.428571429,3,0.8626,1.2385,1.617953846,3.8123,13,-3.630146232957033,Accuracy,111,Accuracy,False
1303,80,5,0.40496973700000005,31.35942373,100.18,2.0,3,0.77554,1.3976,1.849111111,2.6792,9,-1.2950578734865146,Accuracy,20,Accuracy,False
1302,80,5,0.40496973700000005,46.91049618,108.36,5.0,9,2.13455,4.1662,3.5914666669999997,5.3507,3,1.118972616131166,Accuracy,19,Speed,False
1905,80,5,0.28958236800000003,33.196488099999996,79.76,5.0,8,1.6973,2.5625,0.898266667,1.3764,3,0.22057020918379422,Accuracy,82,Speed,False
1371,80,5,0.442727895,33.17019293,99.5,2.222222222,4,1.102066667,1.9698,1.6444875,3.5741,8,-0.3867462057473383,Accuracy,118,Accuracy,False
1915,80,5,0.28958236800000003,39.00938338,94.73,5.0,6,1.723575,2.3563,1.6087333330000002,2.2039,3,-0.571000219030827,Accuracy,92,Accuracy,False
1071,80,5,0.254892354,24.57061162,79.96,2.857142857,3,0.730728571,1.3728,1.035116667,1.5159,6,-1.761088846079077,Accuracy,28,Accuracy,False
