;Radius;Noise;IKINumber;MeanDeviation;MaxDeviation;MeanNrDigits;MaxNrDigits;MeanTimeTypingWindow;MaxTimeTypingWindow;MeanTrackingTime;MaxTrackingTime;TrackingWindowVisitCounter;TrialNumber;distance;prediction;label;is_test;SubjectNr;TrialNumber;Block;Score
115;120;3;0.197858158;3.652.692.857;64.29;10.0;20;316.465;59.932;0.2986;0.2986;1;32;1.976.776.802.496.700;Speed;Speed;FALSE;102;32;4;0.093
116;120;3;0.197858158;2.828.171.875;60.99;5.0;18;13.409;36.332;0.39593333299999994;0.736;3;33;16.192.049.918.228.700;Speed;Speed;FALSE;102;33;4;0.105
117;120;3;0.197858158;2.765.506.122;63.89;10.0;20;272.875;51.972;0.2266;0.2266;1;34;2.541.614.985.918.200;Speed;Speed;FALSE;102;34;4;0.109
118;120;3;0.197858158;4.616.292.969;85.96;6.666.666.667;20;1.852.333.333;48.148;0.4079;0.5901;2;35;11.642.070.674.477.800;Speed;Speed;FALSE;102;35;4;0.1
119;120;3;0.197858158;3.276.746.988;66.98;10.0;20;276.305;5.215;0.37200000000000005;0.37200000000000005;1;36;22.106.605.741.409.900;Speed;Speed;FALSE;102;36;4;0.122
120;80;3;0.197858158;1.427.665.025;33.73;20.0;20;4.573;4.573;0.0;0.0;0;47;0.999774297136908;Speed;Speed;FALSE;102;47;1;0.166
121;80;3;0.197858158;2.364.095.477;53.16;20.0;20;4.47;4.47;0.0;0.0;0;48;4.789.584.820.655.140;Speed;Speed;FALSE;102;48;1;0.17
122;80;3;0.197858158;6.509.880.952;102.61;20.0;20;61.079;61.079;0.0;0.0;0;49;19.996.626.606.787.400;Speed;Speed;FALSE;102;49;1;-0.044
123;80;3;0.197858158;3.636.977.987;70.11;4.0;20;13.843;48.439;0.23;0.3505;4;50;1.037.188.881.786.330;Speed;Speed;FALSE;102;50;1;0.068
124;80;3;0.197858158;6.181.260.331;100.3;10.0;20;270.115;50.917;0.1445;0.1445;1;51;15.779.049.578.648.100;Speed;Speed;FALSE;102;51;1;0.025
125;80;3;0.197858158;3.694.613.636;71.26;20.0;20;49.955;49.955;0.0;0.0;0;52;4.547.182.230.622.690;Speed;Speed;FALSE;102;52;2;0.151
126;80;3;0.197858158;2.267.019.685;76.4;20.0;20;58.219;58.219;0.0;0.0;0;53;4.782.248.856.133.520;Speed;Speed;TRUE;102;53;2;0.115
127;80;3;0.197858158;4.289.034.146;66.75;20.0;20;46.201;46.201;0.0;0.0;0;54;32.111.375.844.027.000;Speed;Speed;FALSE;102;54;2;0.164
128;80;3;0.197858158;3.031.962.264;67.98;20.0;20;47.749;47.749;0.0;0.0;0;55;5.410.566.708.377.770;Speed;Speed;FALSE;102;55;2;0.149
129;80;3;0.197858158;7.577.106.977;126.39;20.0;20;50.981;50.981;0.0;0.0;0;56;0.9998400913090381;Speed;Speed;FALSE;102;56;2;-0.2
130;80;3;0.197858158;2.398.241.525;51.2;10.0;20;26.255;48.658;0.2809;0.2809;1;57;24.177.142.227.324.200;Speed;Speed;FALSE;102;57;3;0.133
131;80;3;0.197858158;2.848.286.232;48.25;10.0;20;32.951;62.764;0.1439;0.1439;1;58;27.617.975.310.158.200;Speed;Speed;FALSE;102;58;3;0.071
132;80;3;0.197858158;4.034.080.645;65.66;20.0;20;56.729;56.729;0.0;0.0;0;59;4.694.122.767.371.380;Speed;Speed;FALSE;102;59;3;0.119
133;80;3;0.197858158;305.462.766;65.87;20.0;20;41.955;41.955;0.0;0.0;0;60;4.991.004.892.563.930;Speed;Speed;FALSE;102;60;3;0.181
134;80;3;0.197858158;3.645.421.801;71.99;20.0;20;47.227;47.227;0.0;0.0;0;61;4.245.561.519.774.380;Speed;Speed;FALSE;102;61;3;0.151
135;80;3;0.197858158;3.137.885.845;63.19;20.0;20;49.685;49.685;0.0;0.0;0;62;5.793.610.779.212.200;Speed;Speed;FALSE;102;62;4;0.152
136;80;3;0.197858158;3.368.257.009;72.24;20.0;20;48.254;48.254;0.0;0.0;0;63;4.613.565.530.957.580;Speed;Speed;FALSE;102;63;4;0.147
137;80;3;0.197858158;3.897.151.376;71.56;20.0;20;49.451;49.451;0.0;0.0;0;64;4.159.389.622.633.300;Speed;Speed;FALSE;102;64;4;0.153
138;80;3;0.197858158;3.783.556.075;83.96;20.0;20;52.028;52.028;0.0;0.0;0;65;2.269.850.351.181.830;Speed;Speed;FALSE;102;65;4;0.132
139;80;3;0.197858158;3.081.365.297;57.77;20.0;20;49.461;49.461;0.0;0.0;0;66;5.694.779.151.133.620;Speed;Speed;FALSE;102;66;4;0.153
140;120;5;0.197858158;6.349.973.856;173.67;6.666.666.667;19;21.666;48.746;0.70055;11.749;2;77;19.317.702.869.923.800;Speed;Speed;FALSE;102;77;1;0.029
141;120;5;0.197858158;7.190.271.111;134.16;10.0;20;25.016;47.176;0.226;0.226;1;78;6.763.138.980.894.390;Speed;Speed;FALSE;102;78;1;0.138
